Julian date,Count corrected [/day],Radial velocity [km/s],Tangential velocity [km/s],Radial distance [au],Detection time [hours],Velocity phase angle [deg],Velocity inclination [deg],V_X (HAE) [km/s],V_Y (HAE) [km/s],V_Z (HAE) [km/s],Deviation angle [deg],Area front [m^2],Area side [m^2]
2459794.9583817595,4.0,-11.26242883190528,14.023660858842959,0.7061718539309725,2.563185777777778,102.79483866508372,-1.5119248504677474,-3.9818610194789787,17.533537454494436,-0.47456741456823104,2.2153185590028968,6.11,4.62
2459795.2917150925,14.0,-11.543688568262551,14.06615635711038,0.7039766064563356,8.000246518518516,103.62042681063315,-1.5555272810313046,-4.283495257525698,17.67826841690409,-0.49395807753148324,0.4343124121241878,6.11,4.62
2459795.625048426,10.0,-11.826533287311607,14.110016425100488,0.7017270602063085,3.4797188740740737,104.43455850596844,-1.598206911710079,-4.587562249972812,17.822739931586018,-0.5134851956665342,0.999950832305736,6.11,4.62
2459795.9583817595,0,-12.111015503431808,14.155270788761625,0.6994229050272456,0.0,105.23746552671744,-1.639980576328823,-4.8941326403844805,17.966958599046094,-0.5331529105430776,0.21939690831971592,6.11,4.62
2459796.2917150925,9.0,-12.397189136709088,14.201950442783442,0.6970638205080992,7.565281659259258,106.02938467046089,-1.6808656835523113,-5.203279341973405,18.11093062469548,-0.5529655210543554,0.4423476893491018,6.11,4.62
2459796.625048426,6.0,-12.685109562216622,14.250087840910206,0.6946494757026396,5.2195783111111105,106.81055671359036,-1.7208799716345307,-5.515077575692321,18.254661913031075,-0.5729274422864744,0.0,6.11,4.62
2459796.9583817595,6.0,-12.974833668760338,14.299716889162694,0.6921795288870597,3.4020465777777775,107.58122583831987,-1.7600414394316712,-5.829605001605296,18.39815798155088,-0.5930432137339262,0.22381178101882981,6.11,4.62
2459797.2917150925,3.0,-13.266419913039314,14.350873060225238,0.6896536272257501,1.9107384888888888,108.34163887792307,-1.798368344539263,-6.146941800578452,18.541423974611508,-0.6133175309637509,0.4515414963158037,6.11,4.62
2459797.625048426,11.0,-13.559928477974267,14.403593429240132,0.6870714064435358,7.938108681481481,109.0920450060744,-1.83587908481889,-6.467170890264449,18.684464642534145,-0.633755237165347,0.0,6.11,4.62
2459797.9583817595,6.0,-13.855421201744486,14.457916764213499,0.6844324905553524,3.1224263111111106,109.83269487101903,-1.8725921362745734,-6.79037791201344,18.827284267886505,-0.6543613274862853,0.22985018505318222,6.11,4.62
2459798.2917150925,0,-14.152961812026629,14.513883575484861,0.6817364914759414,0.0,110.56384053583983,-1.9085259173562834,-7.116651522665276,18.969886671345563,-0.6751409309657684,0.46140076009492326,6.11,4.62
2459798.625048426,9.0,-14.452615962264137,14.571536267227492,0.6789830086492227,6.974972207407406,111.28573481940997,-1.9436989674936938,-7.446083463494194,19.112275218319372,-0.6960993993042889,0.0,6.11,4.62
2459798.9583817595,0,-14.75445131721468,14.630919213195895,0.6761716287189471,0.0,111.9986309656407,-1.978129687671688,-7.7787687191321515,19.25445277014834,-0.7172422404605779,0.23573396487594475,6.11,4.62
